LogGDP,LogDebt,LogNationalSavings,LogRatio,GDP,Debt,NationalSavings,Ratio,Country_Name,Year
21.81472089799096,0,20.90862799109325,0,2978604973,0,1203654269.5893,0,Uganda,1980-01-01
NULL,0,0,0,0,0,0,NULL,Ukraine,1980-01-01
24.498303214353623,0,23.716543375437073,0,43599137908,0,19950965506.7008,0,"United Arab Emirates",1980-01-01
27.01837793976383,26.24402070377834,25.322837328276318,1.0295060442424513,541916593365,249823549541.265,99441694882.47751,0.461,"United Kingdom",1980-01-01
28.648965501529204,27.78810947654315,27.01267013492522,1.0309792944249314,2767500000000,1170099000000,538832249999.99994,0.4228,"United States",1980-01-01
23.088092595166607,0,20.72256770239869,0,10642194985,0,999302109.0915002,0,Uruguay,1980-01-01
27.569186015066375,0,0,0,940037885448,0,0,0,"USSR (Former)",1980-01-01
NULL,0,0,0,0,0,0,NULL,Uzbekistan,1980-01-01
18.64608315811385,0,0,0,125282677,0,0,0,Vanuatu,1980-01-01
24.959505743353272,0,23.83094957831209,0,69147361860,0,22369171561.71,0,Venezuela,1980-01-01
21.5968925037296,0,0,0,2395583100,0,0,0,"Viet Nam",1980-01-01
NULL,0,0,0,0,0,0,NULL,Yemen,1980-01-01
21.208084932537876,0,0,0,1623881215,0,0,0,"Yemen Arab Republic (Former)",1980-01-01
19.69082292384956,0,0,0,356135888,0,0,0,"Yemen Democratic (Former)",1980-01-01
24.971173852283336,0,0,0,69958906197,0,0,0,"Yugoslavia (Former)",1980-01-01
22.185333802302274,0,20.046566794537625,0,4314873317,0,508292076.7426,0,Zambia,1980-01-01
NULL,0,0,0,0,0,0,NULL,Zanzibar,1980-01-01
22.690050909611237,0,0,0,7147660302,0,0,0,Zimbabwe,1980-01-01
21.96994977006226,0,0,0,3478787916,0,0,0,Afghanistan,1981-01-01
21.554120405076322,0,20.694210006638276,0,2295279375,0,971362231.5,0,Albania,1981-01-01
24.515707114783783,0,23.243455469704553,0,44364574433,0,12430953756.1266,0,Algeria,1981-01-01
19.980731329751016,0,0,0,475906198,0,0,0,Andorra,1981-01-01
22.341562052108745,0,20.734122142337316,0,5044488268,0,1010915448.9072,0,Angola,1981-01-01
16.45785077870508,0,0,0,14046036,0,0,0,Anguilla,1981-01-01
18.93831580081537,0,17.879885301780092,0,167805445,0,58228489.41500001,0,"Antigua and Barbuda",1981-01-01
25.08149223793484,0,23.49038528218546,0,78118460659,0,15912730436.238302,0,Argentina,1981-01-01
NULL,0,0,0,0,0,0,NULL,Armenia,1981-01-01
19.560862034461273,0,0,0,312733527,0,0,0,Aruba,1981-01-01
26.031377957840277,0,24.463561720096997,0,201968575990,0,42110448093.915,0,Australia,1981-01-01
24.97605866741953,0,23.58374623397408,0,70301478541,0,17469917417.438503,0,Austria,1981-01-01
NULL,0,0,0,0,0,0,NULL,Azerbaijan,1981-01-01
21.31822249313951,0,0,0,1812952363,0,0,0,Bahamas,1981-01-01
22.036010176383108,0,21.198299544631812,0,3716358680,0,1608068400.8360002,0,Bahrain,1981-01-01
23.554583749748385,0,21.830295995635343,0,16967808187,0,3025360199.7421,0,Bangladesh,1981-01-01
20.83488295478569,0,18.728686675797036,0,1118084684,0,136070906.0428,0,Barbados,1981-01-01
NULL,0,0,0,0,0,0,NULL,Belarus,1981-01-01
25.36239242862534,25.216672774275935,23.598637155806884,1.0057787026723866,103453950571,89425594873.57239,17732007127.8694,0.8643999999999998,Belgium,1981-01-01
19.077682477875957,0,17.706867687604454,0,192900000,0,48977310,0,Belize,1981-01-01
20.98559397383823,0,19.26801390278443,0,1299953035,0,233341569.7825,0,Benin,1981-01-01
20.71014907410455,0,0,0,986968887,0,0,0,Bermuda,1981-01-01
18.808749346530302,0,16.156606777366388,0,147413091,0,10392622.915499998,0,Bhutan,1981-01-01
22.075269438935088,0,18.063426098224728,0,3865162024,0,69959432.63440001,0,Bolivia,1981-01-01
NULL,0,0,0,0,0,0,NULL,"Bosnia and Herzegovina",1981-01-01
20.695642023456056,0,19.353555917000488,0,972754235,0,254180681.60549998,0,Botswana,1981-01-01
26.141841841689967,0,24.45821903106649,0,225557700609,0,41886065003.0913,0,Brazil,1981-01-01
17.896938728253147,0,0,0,59230000,0,0,0,"British Virgin Islands",1981-01-01
22.322483631236025,0,0,0,4949159649,0,0,0,"Brunei Darussalam",1981-01-01
23.2381804820057,0,22.233058536424927,0,12365553273,0,4525792497.918,0,Bulgaria,1981-01-01
21.306306577745655,0,19.294149782871415,0,1791477576,0,239520551.9112,0,"Burkina Faso",1981-01-01
21.052799082212733,0,18.529567318103066,0,1390319039,0,111503586.92779998,0,Burundi,1981-01-01
20.499311309379838,0,0,0,799351482,0,0,0,Cambodia,1981-01-01
22.842322471213272,0,21.250233197113786,0,8323281884,0,1693787863.394,0,Cameroon,1981-01-01
26.42926592670892,25.672752870527155,24.960024644768104,1.029467547169445,300666022750,141102564476.575,69183251834.77501,0.46930000000000005,Canada,1981-01-01
18.75342705506885,0,0,0,139479341,0,-143245283.20700002,0,"Cape Verde",1981-01-01
19.146367275647307,0,0,0,206614909,0,0,0,"Cayman Islands",1981-01-01
20.716398528870716,0,17.756033399154017,0,993156218,0,51445492.0924,0,"Central African Republic",1981-01-01
20.475109850247723,0,17.342411721620575,0,780238227,0,34018386.69720001,0,Chad,1981-01-01
